"","X1","X2","X3","X4","X5","X6"
"1",2743638,"Zuid-Willemsvaart","Zuid-Willemsvaart","Canal de Maastricht a Bois-le-Duc,Canal de Maastricht à Bois-le-Duc,Kanaal van Maastricht naar Hertogenbosch,Maastricht-'s Hertogenbosch Canal,Maastricht-’s Hertogenbosch Canal,Willems Vaart,Zuid-Willemsvaart",50.86667,5.65
"2",2743827,"Zoom","Zoom","De Zoom,Zoom",51.5,4.26667
"3",2744559,"Wielingen","Wielingen","Wielingen",51.41667,3.41667
"4",2748360,"Vlakte van de Raan","Vlakte van de Raan","Raan Flat,Vlakte van Raan,Vlakte van de Raan",51.45,3.23333
"5",2748398,"Putse Moer","Putse Moer","De Putsche Moer,Putsche Moer,Putse Moer",51.38333,4.43333
"6",2748494,"Poppelsche Leij","Poppelsche Leij","Leij,Poppelsche Lei,Poppelsche Leij",51.51667,5.1
"7",2750771,"Moerbekepolder","Moerbekepolder","Moerbekepolder",51.2,3.93333
"8",2751093,"De Maatjes","De Maatjes","De Maatjes,Den Helder,Matjens",51.43333,4.53333
"9",2751145,"Marksken","Marksken","Marksken",51.41667,4.9
"10",2751751,"Leijloop","Leijloop","Leijloop,Leiloop",51.5,4.78333
"11",2753153,"Kabeljauwbeek","Kabeljauwbeek","Kabeljauwbeek",51.36667,4.25
"12",2753299,"Itterbeek","Itterbeek","Itter,Itterbeek,Ittersche Beek,Itterse Beek,Tongerlose Beek",51.16667,5.85
"13",2753909,"Hollandsche Loop","Hollandsche Loop","Hollandsche Loop,Hollandseloop",51.41667,4.81667
"14",2754729,"Hazenduinen","Hazenduinen","Hazenduinen",51.38333,4.41667
"15",2755047,"Gulp","Gulp","Gulp,La Gulpe",50.81667,5.9
"16",2755559,"Gueule","Gueule","De Geul,Geul,Geule,Geulle,Gueule,La Gueule Riviere,La Gueule Rivière",50.9,5.71667
"17",2759361,"Bedafsche Heide","Bedafsche Heide","Bedafsche Heide",51.45,5.01667
"18",2759466,"Ballastplaat","Ballastplaat","Ballastplaat",51.36667,4.23333
"19",2759690,"Appelzak","Appelzak",NA,51.38333,3.38333
"20",2783073,"Weillen","Weillen","Wallonia,Wallonien,Weillen",50.26667,4.91667
