"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Kom nou Meneer #Verbist dit kunde toch niet menen, Iedereen in heel België weet dat het geen strafschop was van The… https://t.co/YQQH3QrM5v",FALSE,2,NA,2018-04-10 08:48:34,TRUE,NA,"983627787402711040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","STVEN1987",0,FALSE,FALSE,NA,NA
"2","Scheidsrechtersbaas reageert fel na de zware kritiek op Boucaut en de videoref: ""Ik heb het al zo vaak gezegd dit s… https://t.co/973T98atpT",FALSE,0,NA,2018-04-10 06:08:52,TRUE,NA,"983587599079133184",NA,"<a href=""http://www.voetbalkrant.com"" rel=""nofollow"">Voetbalkrant.com</a>","rsc_anderlecht",0,FALSE,FALSE,NA,NA
"3","Scheidsrechtersbaas reageert fel na de zware kritiek op Boucaut en de videoref: ""Ik heb het al zo vaak gezegd dit s… https://t.co/hELQ0ZobLG",FALSE,0,NA,2018-04-10 06:08:21,TRUE,NA,"983587470523715584",NA,"<a href=""http://www.voetbalkrant.com"" rel=""nofollow"">Voetbalkrant.com</a>","sp_charleroi",0,FALSE,FALSE,NA,NA
"4","Scheidsrechtersbaas reageert fel na de zware kritiek op Boucaut en de videoref: ""Ik heb het al zo vaak gezegd dit s… https://t.co/mliIGjCeNl",FALSE,0,NA,2018-04-10 06:08:19,TRUE,NA,"983587461996711936",NA,"<a href=""http://www.voetbalkrant.com"" rel=""nofollow"">Voetbalkrant.com</a>","voetbalkrant",0,FALSE,FALSE,NA,NA
"5","RT @rscanderlecht: Charleroi - #RSCA: the starting line-up! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Subs: de Jong, Sá, Chipciu, Ganvoula, Amuzu, Dante &amp; Sambi Lokonga <U+26BD><U+FE0F> #COYM #…",FALSE,0,NA,2018-04-09 22:46:45,FALSE,NA,"983476335807889413",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FeraDhodySatria",25,TRUE,FALSE,NA,NA
"6","RT @CouckeMarc: 1-2 #chaand 
Merci aux supporters nombreux pour le soutien <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
Dank aan massaal meegereisde supporters! https://t.co/1N8N9N…",FALSE,0,NA,2018-04-09 22:00:12,FALSE,NA,"983464623696502784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FdcTiloup",53,TRUE,FALSE,NA,NA
"7","RT @voetbalnieuwsbe: Extra Time unaniem over Teo: ""Schandalig dat hij geen rood kreeg"" #ExtraTime #Degryse #Joos #Teodorczyk #ChaAnd https:…",FALSE,0,NA,2018-04-09 21:43:06,FALSE,NA,"983460320982241280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaurensVanBoven",1,TRUE,FALSE,NA,NA
"8","Extra Time unaniem over Teo: ""Schandalig dat hij geen rood kreeg"" #ExtraTime #Degryse #Joos #Teodorczyk #ChaAnd… https://t.co/qaNXb6kZpN",FALSE,4,NA,2018-04-09 21:31:02,TRUE,NA,"983457283345715202",NA,"<a href=""http://www.voetbalnieuws.be"" rel=""nofollow"">Voetbalnieuwsbe</a>","voetbalnieuwsbe",1,FALSE,FALSE,NA,NA
"9","Eindelijk iemand die mijn mening deelt. Teodorczyk had donkerrood moeten krijgen voor zijn smerige charges vrijdaga… https://t.co/U74PrwvyZX",FALSE,2,NA,2018-04-09 21:28:20,TRUE,NA,"983456602199154688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaurensVanBoven",0,FALSE,FALSE,NA,NA
"10","#chaand Voilà les Anderlechtois fixés, il n'y avait donc pas pénalty comme l'a confirmé à l'unanimité #LaTribune, merci Baucout <U+270C><U+FE0F>",FALSE,0,NA,2018-04-09 20:13:28,FALSE,NA,"983437761691578368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","to1n0u",0,FALSE,FALSE,NA,NA
