"","X","Seizoen","Competitie","Ronde","Land","Club","Leg 1","Leg 2","Testmatch","PUC"
"1",1,"1955/56","Europacup I","1/8",NA,"Vörös Lobogó SE","3-6"," 1-4",NA,0
"2",2,"1956/57","Europacup I","Q",NA,"Manchester United FC","0-2"," 0-10",NA,0
"3",3,"1959/60","Europacup I","Q",NA,"Rangers FC","2-5"," 0-2",NA,0
"4",4,"1962/63","Europacup I","Q",NA,"Real Madrid CF","3-3"," 1-0",NA,7
"5",5,"","","1/8",NA,"CDNA Sofia","2-2"," 2-0",NA,7
"6",6,"","","1/4",NA,"Dundee FC","1-4"," 1-2",NA,7
"7",7,"1964/65","Europacup I","Q",NA,"Bologna FC","1-0"," 1-2"," 0-0",2
"8",8,"","","1/8",NA,"Liverpool FC","0-3"," 0-1",NA,2
"9",9,"1965/66","Europacup I","Q",NA,"Fenerbahçe SK","0-0"," 5-1",NA,8
"10",10,"","","1/8",NA,"Derry City","9-0"," w/o",NA,8
"11",11,"","","1/4",NA,"Real Madrid CF","1-0"," 2-4",NA,8
"12",12,"1966/67","Europacup I","1R",NA,"FC Haka Valkeakoski","10-1"," 2-0",NA,4
"13",13,"","","1/8",NA,"Dukla Praag","1-4"," 1-2",NA,4
"14",14,"1967/68","Europacup I","1R",NA,"FC Karl-Marx-Stadt","3-1"," 2-1",NA,5
"15",15,"","","1/8",NA,"AC Sparta Praag","2-3"," 3-3",NA,5
"16",16,"1968/69","Europacup I","1R",NA,"Glentoran FC","3-0"," 2-2",NA,5
"17",17,"","","1/8",NA,"Manchester United FC","0-3"," 3-1",NA,5
"18",18,"1969/70","Jaarbeursstedenbeker","1R",NA,"Valur Reykjavík","6-0"," 2-0",NA,19
"19",19,"","","2R",NA,"Coleraine FC","6-1"," 7-3",NA,19
"20",20,"","","1/8",NA,"Dunfermline AFC","1-0"," 2-3",NA,19
"21",21,"","","1/4",NA,"Newcastle United FC","2-0"," 1-3",NA,19
"22",22,"","","1/2",NA,"Internazionale","0-1"," 2-0",NA,19
"23",23,"","","F",NA,"Arsenal FC","3-1"," 0-3",NA,19
"24",24,"1970/71","Jaarbeursstedenbeker","1R",NA,"Željeznicar Sarajevo","4-3"," 5-4",NA,10
"25",25,"","","2R",NA,"Akademisk Kopenhagen","3-1"," 4-0",NA,10
"26",26,"","","1/8",NA,"Vitória Setúbal","2-1"," 1-3",NA,10
"27",27,"1971/72","UEFA Cup","1R",NA,"Bologna FC","1-1"," 0-2",NA,1
"28",28,"1972/73","Europacup I","1R",NA,"Vejle BK","4-2"," 3-0",NA,4
"29",29,"","","1/8",NA,"Spartak Trnava","0-1"," 0-1",NA,4
"30",30,"1973/74","Europacup II","1R",NA,"FC Zürich","3-2"," 0-1",NA,2
"31",31,"1974/75","Europacup I","1R",NA,"Slovan Bratislava","2-4"," 3-1",NA,5
"32",32,"","","1/8",NA,"Olympiakos Piraeus","5-1"," 0-3",NA,5
"33",33,"","","1/4",NA,"Leeds United AFC","0-3"," 0-1",NA,5
"34",34,"1975/76","Europacup II","1R",NA,"Rapid Boekarest","0-1"," 2-0",NA,16
"35",35,"","","1/8",NA,"Borac Banja Luka","3-0"," 0-1",NA,16
"36",36,"","","1/4",NA,"Wrexham AFC","1-0"," 1-1",NA,16
"37",37,"","","1/2",NA,"Sachsenring Zwickau","3-0"," 2-0",NA,16
"38",38,"","","F",NA,"West Ham United FC","4-2",NA,NA,16
"39",39,"1976/77","Europacup II","1R",NA,"Roda JC Kerkrade","2-1"," 3-2",NA,15
"40",40,"","","1/8",NA,"Galatasaray SK","5-1"," 5-1",NA,15
"41",41,"","","1/4",NA,"Southampton FC","2-0"," 1-2",NA,15
"42",42,"","","1/2",NA,"SSC Napoli","0-1"," 2-0",NA,15
"43",43,"","","F",NA,"Hamburger SV","0-2",NA,NA,15
"44",44,"1977/78","Europacup II","1R",NA,"Lokomotiv Sofia","6-1"," 2-0",NA,18
"45",45,"","","1/8",NA,"Hamburger SV","2-1"," 1-1",NA,18
"46",46,"","","1/4",NA,"FC Porto","0-1"," 3-0",NA,18
"47",47,"","","1/2",NA,"FC Twente","1-0"," 2-0",NA,18
"48",48,"","","F",NA,"Austria Wien","4-0",NA,NA,18
"49",49,"1978/79","Europacup II","1R",NA,"FC Barcelona","3-0"," 0-3 (1-4 n.p.)",NA,2
"50",50,"1979/80","UEFA Cup","1R",NA,"Dundee United FC","0-0"," 1-1",NA,2
"51",51,"1980/81","UEFA Cup","1R",NA,"1. FC Kaiserslautern","0-1"," 3-2",NA,2
"52",52,"1981/82","Europacup I","1R",NA,"Widzew Lódz","4-1"," 2-1",NA,14
"53",53,"","","1/8",NA,"Juventus FC","3-1"," 1-1",NA,14
"54",54,"","","1/4",NA,"Rode Ster Belgrado","2-1"," 2-1",NA,14
"55",55,"","","1/2",NA,"Aston Villa FC","0-1"," 0-0",NA,14
"56",56,"1982/83","UEFA Cup","1R",NA,"Koparit Kuopio","3-0"," 3-1",NA,22
"57",57,"","","2R",NA,"FC Porto","4-0"," 2-3",NA,22
"58",58,"","","1/8",NA,"FK Sarajevo","6-1"," 0-1",NA,22
"59",59,"","","1/4",NA,"Valencia CF","2-1"," 3-1",NA,22
"60",60,"","","1/2",NA,"Bohemians CKD Praag","1-0"," 3-1",NA,22
"61",61,"","","F",NA,"SL Benfica","1-0"," 1-1",NA,22
"62",62,"1983/84","UEFA Cup","1R",NA,"Bryne FK","3-0"," 1-1",NA,18
"63",63,"","","2R",NA,"Banik Ostrava","2-0"," 2-2",NA,18
"64",64,"","","1/8",NA,"RC Lens","1-1"," 1-0",NA,18
"65",65,"","","1/4",NA,"Spartak Moskou","4-2"," 0-1",NA,18
"66",66,"","","1/2",NA,"Nottingham Forest FC","0-2"," 3-0",NA,18
"67",67,"","","F",NA,"Tottenham Hotspur FC","1-1"," 1-1 (3-4 n.p.)",NA,18
"68",68,"1984/85","UEFA Cup","1R",NA,"SV Werder Bremen","1-0"," 1-2",NA,7
"69",69,"","","2R",NA,"ACF Fiorentina","1-1"," 6-2",NA,7
"70",70,"","","1/8",NA,"Real Madrid CF","3-0"," 1-6",NA,7
"71",71,"1985/86","Europacup I","1/8",NA,"Omonia Nicosia","1-0"," 3-1",NA,10
"72",72,"","","1/4",NA,"FC Bayern München","1-2"," 2-0",NA,10
"73",73,"","","1/2",NA,"Steaua Boekarest","1-0"," 0-3",NA,10
"74",74,"1986/87","Europacup I","1R",NA,"Górnik Zabrze","2-0"," 1-1",NA,7
"75",75,"","","1/8",NA,"Steaua Boekarest","3-0"," 0-1",NA,7
"76",76,"","","1/4",NA,"FC Bayern München","0-5"," 2-2",NA,7
"77",77,"1987/88","Europacup I","1R",NA,"Malmö FF","1-0"," 1-1",NA,10
"78",78,"","","1/8",NA,"Sparta Praag","2-1"," 1-0",NA,10
"79",79,"","","1/4",NA,"SL Benfica","0-2"," 1-0",NA,10
"80",80,"1988/89","Europacup II","1R",NA,"FC Metz","3-1"," 2-0",NA,4
"81",81,"","","1/8",NA,"KV Mechelen","0-1"," 0-2",NA,4
"82",82,"1989/90","Europacup II","1R",NA,"Ballymena United","6-0"," 4-0",NA,16
"83",83,"","","1/8",NA,"FC Barcelona","2-0"," 1-2",NA,16
"84",84,"","","1/4",NA,"FC Admira/Wacker","2-0"," 1-1",NA,16
"85",85,"","","1/2",NA,"Dinamo Boekarest","1-0"," 1-0",NA,16
"86",86,"","","F",NA,"UC Sampdoria","0-2",NA,NA,16
"87",87,"1990/91","UEFA Cup","1R",NA,"Petrolul Ploiesti","2-0"," 2-0",NA,10
"88",88,"","","2R",NA,"Omonia Nicosia","1-1"," 3-0",NA,10
"89",89,"","","1/8",NA,"Borussia Dortmund","1-0"," 1-2",NA,10
"90",90,"","","1/4",NA,"AS Roma","0-3"," 2-3",NA,10
"91",91,"1991/92","Europacup I","1R",NA,"Grasshopper-Club Zürich","1-1"," 3-0",NA,14
"92",92,"","","2R",NA,"PSV","0-0"," 2-0",NA,14
"93",93,"","","Groep",NA,"Panathinaikos FC","0-0"," 0-0",NA,14
"94",94,"","","Groep",NA,"Rode Ster Belgrado","2-3"," 3-2",NA,14
"95",95,"","","Groep",NA,"UC Sampdoria","3-2"," 0-2",NA,14
"96",96,"1992/93","UEFA Cup","1R",NA,"Hibernian FC","2-2"," 1-1",NA,8
"97",97,"","","2R",NA,"FC Dynamo Kiev","4-2"," 3-0",NA,8
"98",98,"","","1/8",NA,"Paris Saint-Germain","0-0"," 1-1",NA,8
"99",99,"1993/94","Champions League","1R",NA,"HJK Helsinki","3-0"," 3-0",NA,14
"100",100,"","","2R",NA,"Sparta Praag","1-0"," 4-2",NA,14
"101",101,"","","Groep",NA,"AC Milan","0-0"," 0-0",NA,14
"102",102,"","","Groep",NA,"SV Werder Bremen","3-5"," 1-2",NA,14
"103",103,"","","Groep",NA,"FC Porto","1-0"," 0-2",NA,14
"104",104,"1994/95","Champions League","Groep",NA,"Steaua Boekarest","0-0"," 1-1",NA,5
"105",105,"","","Groep",NA,"SL Benfica","1-3"," 1-1",NA,5
"106",106,"","","Groep",NA,"HNK Hajduk Split","1-2"," 0-0",NA,5
"107",107,"1995/96","Champions League","Q",NA,"Ferencvárosi TC","0-1"," 1-1",NA,1
"108",108,"1996/97","UEFA Cup","1R",NA,"Alania Vladikavkaz","1-2"," 4-0",NA,9
"109",109,"","","2R",NA,"Vitória SC","1-1"," 0-0",NA,9
"110",110,"","","1/8",NA,"Helsingborgs IF","0-0"," 1-0",NA,9
"111",111,"","","1/4",NA,"Internazionale","1-1"," 1-2",NA,9
"112",112,"1997/98","UEFA Cup","2Q",NA,"Vorskla Poltava","2-0"," 2-0",NA,6
"113",113,"","","1R",NA,"Austria Salzburg","3-4"," 4-2",NA,6
"114",114,"","","2R",NA,"FC Schalke 04","0-1"," 1-2",NA,6
"115",115,"1998/99","UEFA Cup","1Q",NA,"Tiligul Tiraspol","1-0"," 5-0",NA,4
"116",116,"","","2Q",NA,"NK Osijek","1-3"," 2-0",NA,4
"117",117,"","","1R",NA,"Grasshopper Zürich","0-0"," 0-2",NA,4
"118",118,"1999/00","UEFA Cup","Q",NA,"IF Leiftur","6-1"," 3-0",NA,8
"119",119,"","","1R",NA,"Olimpija Ljubljana","3-1"," 3-0",NA,8
"120",120,"","","2R",NA,"Bologna FC","2-1"," 0-3",NA,8
"121",121,"2000/01","Champions League","2Q",NA,"Anorthosis Famagusta","4-2"," 0-0",NA,16
"122",122,"","","3Q",NA,"FC Porto","1-0"," 0-0",NA,16
"123",123,"","","Groep 1",NA,"Manchester United FC","1-5"," 2-1",NA,16
"124",124,"","","Groep 1",NA,"PSV","1-0"," 3-2",NA,16
"125",125,"","","Groep 1",NA,"FC Dynamo Kiev","0-4"," 4-2",NA,16
"126",126,"","","Groep 2",NA,"SS Lazio","1-0"," 1-2",NA,16
"127",127,"","","Groep 2",NA,"Real Madrid CF","1-4"," 2-0",NA,16
"128",128,"","","Groep 2",NA,"Leeds United AFC","1-2"," 1-4",NA,16
"129",129,"2001/02","Champions League","2Q",NA,"FC Sheriff Tiraspol","4-0"," 2-1",NA,7.5
"130",130,"","","3Q",NA,"Halmstads BK","3-2"," 1-1",NA,7.5
"131",131,"","","Groep 1",NA,"Lokomotiv Moskou","1-1 1-5",NA,NA,7.5
"132",132,"","","Groep 1",NA,"AS Roma","0-0"," 1-1",NA,7.5
"133",133,"","","Groep 1",NA,"Real Madrid CF","1-4"," 0-2",NA,7.5
"134",134,"2002/03","UEFA Cup","1R",NA,"Stabæk IF","0-1"," 2-1",NA,11
"135",135,"","","2R",NA,"FC Midtjylland","3-1"," 3-0",NA,11
"136",136,"","","3R",NA,"Girondins de Bordeaux","2-0"," 2-2",NA,11
"137",137,"","","1/8",NA,"Panathinaikos FC","0-3"," 2-0",NA,11
"138",138,"2003/04","Champions League","2Q",NA,"Rapid Boekarest","0-0"," 3-2",NA,9.5
"139",139,"","","3Q",NA,"Wisla Kraków","3-1"," 1-0",NA,9.5
"140",140,"","","Groep",NA,"Olympique Lyon","0-1 1-0",NA,NA,9.5
"141",141,"","","Groep",NA,"FC Bayern München","1-1"," 0-1",NA,9.5
"142",142,"","","Groep",NA,"Celtic FC","1-0"," 1-3",NA,9.5
"143",143,"2004/05","Champions League","3Q",NA,"SL Benfica","0-1"," 3-0",NA,4
"144",144,"","","Groep",NA,"Valencia CF","0-2 1-2",NA,NA,4
"145",145,"","","Groep",NA,"Internazionale","1-3"," 0-3",NA,4
"146",146,"","","Groep",NA,"SV Werder Bremen","1-2"," 1-5",NA,4
"147",147,"2005/06","Champions League","2Q",NA,"Neftchi Bakoe","5-0"," 0-1",NA,8
"148",148,"","","3Q",NA,"Slavia Praag","2-1"," 2-0",NA,8
"149",149,"","","Groep",NA,"Chelsea FC","0-1"," 0-2",NA,8
"150",150,"","","Groep",NA,"Real Betis","0-1"," 1-0",NA,8
"151",151,"","","Groep",NA,"Liverpool FC","0-1"," 0-3",NA,8
"152",152,"2006/07","Champions League","Groep",NA,"Lille OSC","1-1"," 2-2",NA,7
"153",153,"","","Groep",NA,"AEK Athene","1-1"," 2-2",NA,7
"154",154,"","","Groep",NA,"AC Milan","0-1"," 1-4",NA,7
"155",155,"2007/08","Champions League","3Q",NA,"Fenerbahçe SK","0-1"," 0-2",NA,12
"156",156,"2007/08","UEFA Cup","1R",NA,"SK Rapid Wien","1-1"," 1-0",NA,12
"157",157,"","","Groep",NA,"Hapoel Tel Aviv FC","2-0",NA,NA,12
"158",158,"","","Groep",NA,"Aalborg BK","1-1",NA,NA,12
"159",159,"","","Groep",NA,"Tottenham Hotspur FC","1-1",NA,NA,12
"160",160,"","","Groep",NA,"Getafe CF","1-2",NA,NA,12
"161",161,"","","3R",NA,"Girondins de Bordeaux","2-1"," 1-1",NA,12
"162",162,"","","1/8",NA,"FC Bayern München","0-5"," 2-1",NA,12
"163",163,"2008/09","Champions League","2Q",NA,"FK BATE Borisov","1-2"," 2-2",NA,0.5
"164",164,"2009/10","Champions League","3Q",NA,"Sivasspor","5-0"," 1-3",NA,14
"165",165,"","","4Q",NA,"Olympique Lyon","1-5"," 1-3",NA,14
"166",166,"2009/10","Europa League","Groep",NA,"AFC Ajax","1-1"," 3-1",NA,14
"167",167,"","","Groep",NA,"GNK Dinamo Zagreb","2-0"," 0-1",NA,14
"168",168,"","","Groep",NA,"FC Timisoara","0-0"," 3-1",NA,14
"169",169,"","","2R",NA,"Athletic Bilbao","1-1"," 4-0",NA,14
"170",170,"","","1/8",NA,"Hamburger SV","1-3"," 4-3",NA,14
"171",171,"2010/11","Champions League","3Q",NA,"The New Saints FC","3-1"," 3-0",NA,8
"172",172,"","","PO",NA,"FK Partizan","2-2"," 2-2 (2-3 n.s.)",NA,8
"173",173,"2010/11","Europa League","Groep",NA,"FK Zenit Sint-Petersburg","1-3"," 1-3",NA,8
"174",174,"","","Groep",NA,"AEK Athene","3-0"," 1-1",NA,8
"175",175,"","","Groep",NA,"HNK Hajduk Split","0-1"," 2-0",NA,8
"176",176,"","","2R",NA,"AFC Ajax","0-3"," 0-2",NA,8
"177",177,"2011/12","Europa League","PO",NA,"Bursaspor","2-1"," 2-2",NA,13.5
"178",178,"","","Groep",NA,"AEK Athene","4-1"," 2-1",NA,13.5
"179",179,"","","Groep",NA,"Lokomotiv Moskou","2-0"," 5-3",NA,13.5
"180",180,"","","Groep",NA,"SK Sturm Graz","2-0"," 3-0",NA,13.5
"181",181,"","","2R",NA,"AZ Alkmaar","0-1"," 0-1",NA,13.5
"182",182,"2012/13","Champions League","3Q",NA,"FK Ekranas","5-0"," 6-0",NA,11
"183",183,"","","PO",NA,"AEL Limassol","1-2"," 2-0",NA,11
"184",184,"","","Groep",NA,"AC Milan","0-0"," 1-3",NA,11
"185",185,"","","Groep",NA,"FK Zenit Sint-Petersburg","0-1"," 1-0",NA,11
"186",186,"","","Groep",NA,"Málaga CF","0-3"," 2-2",NA,11
"187",187,"2013/14","Champions League","Groep",NA,"Paris Saint-Germain","0-5"," 1-1",NA,0
