"","Land","Naam","Geboortedatum","Seizoenen"
"1","Noorwegen","Årst, Ole Martin Ole Martin Årst","19-04-1974","1997-1998"
"2","België","Aché, Jean Jean Aché","06-11-1905","1927-1929"
"3","Ghana","Acheampong, Frank Frank Acheampong","16-10-1993","2013-2017"
"4","België","Adams, Ferdinand Ferdinand Adams","03-05-1903","1919-1934"
"5","Turkije","Akin, Serhat Serhat Akin","05-06-1981","2005-2008"
"6","België","Albert, Philippe Philippe Albert","10-08-1967","1992-1994"
"7","Tunesië","Allagui, Sami Sami Allagui","28-05-1986","2005-2006"
"8","Colombia","Álvarez, Oswal Oswal Álvarez","11-06-1995","2014-nu"
"9","Griekenland","Anastasiou, Yannis Yannis Anastasiou","05-03-1973","1999-2000"
"10","Denemarken","Andersen, Henrik Henrik Andersen","07-05-1965","1982-1990"
"11","Denemarken","Andersen, Torsten Torsten Andersen","27-03-1949","1973-1976"
"12","Frankrijk","Appiah, Dennis Dennis Appiah","09-06-1992","2016-nu"
"13","Zweden","Armenteros, Samuel Samuel Armenteros","27-05-1990","2013"
"14","Denemarken","Arnesen, Frank Frank Arnesen","30-09-1956","1983-1985"
"15","Ghana","Asare, Isaac Isaac Asare","01-09-1974","1992-1997"
"16","Nigeria","Babayaro, Celestine Celestine Babayaro","29-08-1978","1994-1997"
"17","België","Badibanga, Ziguy Ziguy Badibanga","26-11-1991","2010-2011"
"18","Senegal","Badji, Stéphane Stéphane Badji","29-05-1990","2016-nu"
"19","België","Bamps, Oscar Oscar Bamps","21-01-1911","1929-1936"
"20","Argentinië","Barrios, Pier Pier Barrios","01-07-1990","2010"
"21","Nederland","Barth, Leen Leen Barth","11-01-1951","1970-1975"
"22","België","Baseggio, Walter Walter Baseggio","19-08-1978","1996-2005, 2007"
"23","België","Bastien, Samuel Samuel Bastien","26-09-1996","2014-2015"
"24","Nederland","Bergholtz, Gerard Gerard Bergholtz","29-08-1939","1966-1970"
"25","Slovenië","Beric, Robert Robert Beric","17-06-1991","2017-nu"
"26","Honduras","Bernárdez, Víctor Víctor Bernárdez","14-05-1982","2009-2011"
"27","Argentinië","Biglia, Lucas Lucas Biglia","30-01-1986","2006-2013"
"28","België","Billens, Jacques Jacques Billens","13-07-1944","1962-1964"
"29","België","Boeckx, Frank Frank Boeckx","27-09-1986","2015-nu"
"30","België","Boffin, Danny Danny Boffin","10-07-1965","1991-1997"
"31","België","Bondroit, François François Bondroit","24-07-1900","1919-1934"
"32","België","Borremans, Henri Henri Borremans","19-08-1917","1939-1945"
"33","Nederland","Bosman, Johnny Johnny Bosman","01-02-1966","1991-1996"
"34","Marokko","Boussoufa, Mbark Mbark Boussoufa","15-08-1984","2006-2011"
"35","Congo-Kinshasa","Bouvy, Jean-Claude Jean-Claude Bouvy","19-05-1959","1977-1981"
