"","Seizoen","Trainer(s)","Prijzen","Assistent(en)"
"1","2017/18","Hein Vanhaezebrouck","","Karim Belhocine, Gino Caen"
"2","2017/18","Nicolás Frutos (ad interim tot 3 oktober 2017)","","Thomas Binggeli, David Sesa"
"3","2017/18","René Weiler (tot 18 september 2017)","Supercup","Thomas Binggeli, David Sesa, Nicolás Frutos"
"4","2016/17","René Weiler","Eerste klasse","Thomas Binggeli, David Sesa, Nicolás Frutos"
"5","2015/16","Besnik Hasi","","Geert Emmerechts, Mohamed Ouahbi"
"6","2014/15","Besnik Hasi","Supercup","Geert Emmerechts, René Peeters"
"7","2013/14","Besnik Hasi","Eerste klasse","Geert Emmerechts, Bart Meert[1]"
"8","2013/14","John van den Brom (tot 10 maart 2014)","Supercup","Besnik Hasi, Geert Emmerechts"
"9","2012/13","John van den Brom","Eerste klasse, Supercup","Besnik Hasi, Geert Emmerechts"
"10","2011/12","Ariël Jacobs","Eerste klasse","Besnik Hasi, Daniel Renders"
"11","2010/11","Ariël Jacobs","Supercup","Besnik Hasi, Daniel Renders"
"12","2009/10","Ariël Jacobs","Eerste klasse","Besnik Hasi, Daniel Renders"
"13","2008/09","Ariël Jacobs","","Besnik Hasi, Daniel Renders"
"14","2007/08","Ariël Jacobs","Beker van België","Daniel Renders"
"15","2007/08","Frank Vercauteren (tot 11 november 2007)","Supercup","Ariël Jacobs, Daniel Renders"
"16","2006/07","Frank Vercauteren","Eerste klasse, Supercup","Glen De Boeck, Daniel Renders"
"17","2005/06","Frank Vercauteren","Eerste klasse","Glen De Boeck, Daniel Renders"
"18","2004/05","Frank Vercauteren","","Glen De Boeck"
"19","2004/05","Hugo Broos (tot 6 februari 2005)","","Frank Vercauteren"
"20","2003/04","Hugo Broos","Eerste klasse","Frank Vercauteren"
"21","2002/03","Hugo Broos","","Frank Vercauteren"
"22","2001/02","Aimé Antheunis","Supercup","Frank Vercauteren"
"23","2000/01","Aimé Antheunis","Eerste klasse, Supercup","Frank Vercauteren"
"24","1999/00","Aimé Antheunis","Eerste klasse, Ligabeker","Frank Vercauteren"
"25","1998/99","Jean Dockx &  Frank Vercauteren","",""
"26","1998/99","Arie Haan (tot 16 september 1998)","","Jean Dockx, Frank Vercauteren"
"27","1997/98","Arie Haan","","Jean Dockx"
"28","1997/98","Jean Dockx (ad interim tot 3 december 1997)","",""
"29","1997/98","René Vandereycken (tot 30 november 1997)","","Jean Dockx"
"30","1996/97","Johan Boskamp","","Jean Dockx"
"31","1995/96","Johan Boskamp","","Jean Dockx"
"32","1995/96","Raymond Goethals (ad interim tot 19 augustus 1995)","","Jean Dockx"
"33","1995/96","Herbert Neumann (tot 12 augustus 1995)","Supercup","Jean Dockx"
"34","1994/95","Johan Boskamp","Eerste klasse","Jean Dockx"
"35","1993/94","Johan Boskamp","Eerste klasse, Beker van België, Supercup","Jean Dockx"
"36","1992/93","Johan Boskamp","Eerste klasse","Jean Dockx"
"37","1992/93","Luka Peruzovic (tot 9 januari 1993)","","Jean Dockx"
"38","1991/92","Aad de Mos","","Jean Dockx"
"39","1990/91","Aad de Mos","Eerste klasse","Jean Dockx"
"40","1989/90","Aad de Mos","","Jean Dockx"
"41","1988/89","Raymond Goethals (TD) &  Martin Lippens (trainer)","Beker van België","Jean Dockx"
"42","1987/88","Raymond Goethals (TD) &  Martin Lippens (trainer)","Beker van België","Jean Dockx"
"43","1987/88","Georges Leekens (tot 27 februari 1988)","Supercup","Martin Lippens, Jean Dockx"
"44","1986/87","Arie Haan","Eerste klasse","Martin Lippens, Jean Dockx"
"45","1985/86","Arie Haan","Eerste klasse","Martin Lippens, Jean Dockx"
"46","1985/86","Martin Lippens &  Jean Dockx (ad interim tot 11 januari 1986)","",""
"47","1985/86","Paul Van Himst (tot 31 december 1985)","Supercup","Martin Lippens, Jean Dockx"
"48","1984/85","Paul Van Himst","Eerste klasse","Martin Lippens, Jean Dockx"
"49","1983/84","Paul Van Himst","","Martin Lippens"
"50","1982/83","Paul Van Himst","UEFA Cup","Martin Lippens"
"51","1982/83","Tomislav Ivic (tot 25 september 1982)","","Martin Lippens"
"52","1981/82","Tomislav Ivic","","Martin Lippens"
"53","1980/81","Tomislav Ivic","Eerste klasse","Martin Lippens"
"54","1979/80","Urbain Braems","","Martin Lippens"
"55","1978/79","Raymond Goethals","UEFA Super Cup","Martin Lippens"
"56","1977/78","Raymond Goethals","Europacup II","Martin Lippens"
"57","1976/77","Raymond Goethals","UEFA Super Cup","Martin Lippens"
"58","1975/76","Hans Croon","Beker van België, Europacup II","Jacques de Wit[2]"
"59","1974/75","Urbain Braems","Beker van België","Jacques de Wit"
"60","1973/74","Urbain Braems","Eerste klasse",""
"61","1972/73","Hippolyte Van Den Bosch","Beker van België","Arnold Deraeymaeker"
"62","1972/73","Georg Kessler (tot 20 december 1972)","","Arnold Deraeymaeker, Jan Brouwer[3]"
"63","1971/72","Georg Kessler","Eerste klasse, Beker van België","Arnold Deraeymaeker"
