city;location;station;line;opened;;;;;;;;
Brussels;Brussels, Belgium;Alma;1;7/mei/82;;;;;;;;
Brussels;Brussels, Belgium;Amaule;5;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Beaulieu;5;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Beekkant;1;8/mei/81;;;;;;;;
Brussels;Brussels, Belgium;Belgica;6;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Bizet;5;10/jan/92;;;;;;;;
Brussels;Brussels, Belgium;Bockstael;6;6/10/82;;;;;;;;
Brussels;Brussels, Belgium;Centraal Station;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;COOVI;5;16/sep/03;;;;;;;;
Brussels;Brussels, Belgium;Clemenceau;2;18/jun/93;;;;;;;;
Brussels;Brussels, Belgium;De Brouck�re;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;Delacroix;2;4/sep/06;;;;;;;;
Brussels;Brussels, Belgium;Delta;5;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Demey;5;7/jun/77;;;;;;;;
Brussels;Brussels, Belgium;Eddy Merckx;5;16/sep/03;;;;;;;;
Brussels;Brussels, Belgium;Erasmus;5;16/sep/03;;;;;;;;
Brussels;Brussels, Belgium;Gribaumont;1;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Graaf van Vlaanderen��;1;8/mei/81;;;;;;;;
Brussels;Brussels, Belgium;Hallepoort;2;2/okt/88;;;;;;;;
Brussels;Brussels, Belgium;Hankar;5;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Heizel;6;10/mei/85;;;;;;;;
Brussels;Brussels, Belgium;Herrmann-Debroux;5;23/mrt/85;;;;;;;;
Brussels;Brussels, Belgium;Het Rad;5;16/sep/03;;;;;;;;
Brussels;Brussels, Belgium;Houba-Brugmann;6;10/mei/85;;;;;;;;
Brussels;Brussels, Belgium;Jacques Brel;5;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Jos�phine-Charlotte;1;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Koning Boudewijn;6;25/aug/98;;;;;;;;
Brussels;Brussels, Belgium;Kraainem;1;31/aug/88;;;;;;;;
Brussels;Brussels, Belgium;Kruidtuin;2;18/aug/74;;;;;;;;
Brussels;Brussels, Belgium;Kunst-Wet;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;Louiza;2;19/08/85;;;;;;;;
Brussels;Brussels, Belgium;Maalbeek;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;Madou;2;20/dec/70;;;;;;;;
Brussels;Brussels, Belgium;Merode;1;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Montgomery;1;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Munthof;2;2/okt/88;;;;;;;;
Brussels;Brussels, Belgium;Naamsepoort;2;20/12/70;;;;;;;;
Brussels;Brussels, Belgium;Ossegem;2;6/10/82;;;;;;;;
Brussels;Brussels, Belgium;Pannenhuis;6;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Park;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;P�tillon;5;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Ribaucourt;2;2/okt/88;;;;;;;;
Brussels;Brussels, Belgium;Rogier;2;18/aug/74;;;;;;;;
Brussels;Brussels, Belgium;Roodebeek;1;7/mei/82;;;;;;;;
Brussels;Brussels, Belgium;Sainctelette;2;NA/NA/NA;;;;;;;;
Brussels;Brussels, Belgium;Schuman;1;17/dec/69;;;;;;;;
Brussels;Brussels, Belgium;Simonis;2;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Sint-Guido;5;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;Sint-Katelijne;1;13/apr/77;;;;;;;;
Brussels;Brussels, Belgium;Stokkel;1;31/aug/88;;;;;;;;
Brussels;Brussels, Belgium;Stuyvenbergh;6;10/mei/85;;;;;;;;
Brussels;Brussels, Belgium;Thieffry;5;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Tomberg;1;20/sep/76;;;;;;;;
Brussels;Brussels, Belgium;Troon;2;20/dec/70;;;;;;;;
Brussels;Brussels, Belgium;Vandervelde;1;7/mei/82;;;;;;;;
Brussels;Brussels, Belgium;Veeweide;5;5/jul/85;;;;;;;;
Brussels;Brussels, Belgium;Weststation;1;6/okt/82;;;;;;;;
Brussels;Brussels, Belgium;IJzer;2;2/okt/88;;;;;;;;
Brussels;Brussels, Belgium;Zuidstation;2;2/okt/88;;;;;;;;
Brussels;Brussels, Belgium;Zwarte Vijvers;1;8/mei/81;;;;;;;;
